18:56:14|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:56:36|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:56:42|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:56:52|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:57:23|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:58:19|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:58:30|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:58:37|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:59:43|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:00:24|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:00:34|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:01:06|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:01:50|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:02:42|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:05:24|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:05:37|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:06:16|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:06:54|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
19:07:22|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:10:44|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:11:06|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:12:15|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:12:32|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:12:41|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:12:51|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:13:15|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:14:27|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:15:04|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:16:06|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:16:40|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:16:47|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:17:14|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:17:25|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:17:47|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:21:57|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:22:16|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:22:32|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:24:31|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
19:32:53|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:33:46|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:34:06|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:38:09|-|(6.123456789, 1.990101, 1.1234)|=|3.01
19:41:40|-|(6.123456789, 1.990101, 1.1234)|=|3.01
15:16:51|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
15:17:03|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
